Starting to process folder: /Users/shaamarl/Desktop/Projects/opensourceversions/Sundance-SMT/20241211-verus
Found 3763 files to process in '/Users/shaamarl/Desktop/Projects/opensourceversions/Sundance-SMT/20241211-verus'
Using 8 parallel processes
------------------------------------------------------------
[1/3763] verismo/tspec__range_set.4.smt2 -> UNKNOWN
[2/3763] verismo/tspec__range_set.5.smt2 -> UNKNOWN
[3/3763] verismo/tspec_e__array__array_e.7.smt2 -> UNSAT
[4/3763] verismo/tspec_e__array__sort.4.smt2 -> UNKNOWN
[5/3763] verismo/tspec__seqlib__subseq.5.smt2 -> UNKNOWN
[6/3763] verismo/tspec__math__cond_bound.1.smt2 -> UNKNOWN
[7/3763] verismo/tspec_e__array__sort.8.smt2 -> UNKNOWN
[8/3763] verismo/tspec__seqlib__subseq.4.smt2 -> UNKNOWN
[9/3763] verismo/snp__percpu__def_s.2.smt2 -> UNSAT
[10/3763] verismo/trusted_hacl__hash_s.smt2 -> UNKNOWN
[11/3763] verismo/arch__entities.2.smt2 -> UNKNOWN
[12/3763] verismo/arch__rmp__def_s.1.smt2 -> UNSAT
[13/3763] verismo/tspec__range_set.2.smt2 -> UNKNOWN
[14/3763] verismo/tspec_e__array__array_e.6.smt2 -> UNKNOWN
[15/3763] verismo/tspec_e__array__sort.3.smt2 -> UNKNOWN
[16/3763] verismo/arch__rmp__def_s.6.smt2 -> UNKNOWN
[17/3763] verismo/arch__addr_s__def_s.2.smt2 -> UNSAT
[18/3763] verismo/tspec_e__math__minmax.1.smt2 -> UNKNOWN
[19/3763] verismo/arch__reg.2.smt2 -> UNSAT
[20/3763] verismo/tspec__math__bits_p.1.smt2 -> UNSAT
[21/3763] verismo/tspec_e__array__sort.5.smt2 -> TIMEOUT
[22/3763] verismo/tspec__seqlib__subseq.3.smt2 -> UNKNOWN
[23/3763] verismo/tspec_e__array__array_e.10.smt2 -> UNSAT
[24/3763] verismo/tspec__seqlib__seq_multiset.1.smt2 -> UNKNOWN
[25/3763] verismo/tspec__seqlib__subseq.2.smt2 -> UNKNOWN
[26/3763] verismo/tspec_e__array__array_utils.1.smt2 -> UNKNOWN
[27/3763] verismo/tspec__setlib.1.smt2 -> UNSAT
[28/3763] verismo/tspec_e__array__sort.2.smt2 -> UNKNOWN
[29/3763] verismo/tspec__range_set.3.smt2 -> UNSAT
[30/3763] verismo/tspec_e__array__array_e.1.smt2 -> UNSAT
[31/3763] verismo/arch__rmp__def_s.4.smt2 -> UNSAT
[32/3763] verismo/tspec__map_lib.2.smt2 -> UNKNOWN
[33/3763] verismo/tspec__map_lib.1.smt2 -> UNKNOWN
[34/3763] verismo/tspec_e__array__sort.1.smt2 -> UNKNOWN
[35/3763] verismo/tspec_e__array__array_e.2.smt2 -> UNSAT
[36/3763] verismo/tspec__seqlib__subseq.1.smt2 -> UNKNOWN
[37/3763] verismo/tspec__seqlib__seq_multiset.2.smt2 -> UNKNOWN
[38/3763] verismo/tspec__setlib.2.smt2 -> UNKNOWN
[39/3763] verismo/tspec_e__array__array_utils.2.smt2 -> UNKNOWN
[40/3763] verismo/tspec__setlib.3.smt2 -> UNSAT
[41/3763] verismo/tspec_e__array__array_utils.3.smt2 -> UNKNOWN
[42/3763] verismo/arch__reg.1.smt2 -> UNSAT
[43/3763] verismo/tspec_e__math__minmax.2.smt2 -> UNSAT
[44/3763] verismo/tspec_e__array.smt2 -> UNSAT
[45/3763] verismo/arch__entities.1.smt2 -> UNSAT
[46/3763] verismo/tspec_e__array__array_e.3.smt2 -> UNSAT
[47/3763] verismo/tspec__range_set.1.smt2 -> UNKNOWN
[48/3763] verismo/arch__rmp__def_s.5.smt2 -> UNSAT
[49/3763] verismo/arch__addr_s__def_s.1.smt2 -> UNSAT
[50/3763] verismo/tspec__math__cond_bound.2.smt2 -> UNKNOWN
[51/3763] verismo/tspec__seqlib__seq_multiset.4.smt2 -> UNKNOWN
[52/3763] verismo/snp__percpu__def_s.1.smt2 -> UNSAT
[53/3763] verismo/tspec_e__array__array_utils.4.smt2 -> UNKNOWN
[54/3763] verismo/tspec__seqlib__seq_multiset.3.smt2 -> UNKNOWN
[55/3763] verismo/tspec_e__array__array_e.8.smt2 -> UNSAT
[56/3763] verismo/tspec__setlib.4.smt2 -> UNKNOWN
[57/3763] verismo/arch__rmp__def_s.2.smt2 -> UNSAT
[58/3763] verismo/tspec_e__array__array_e.4.smt2 -> UNSAT
[59/3763] verismo/tspec_e__array__array_e.5.smt2 -> UNSAT
[60/3763] verismo/arch__rmp__def_s.3.smt2 -> UNSAT
[61/3763] verismo/tspec_e__array__array_e.9.smt2 -> UNSAT
[62/3763] verismo/tspec__setlib.5.smt2 -> UNKNOWN
[63/3763] verismo/tspec_e__array__array_utils.5.smt2 -> UNKNOWN
[64/3763] splinterdb/abstract_system__MsgHistory_v.4.smt2 -> UNSAT
[65/3763] verismo/tspec__range_set.6.smt2 -> UNKNOWN
[66/3763] splinterdb/journal__LinkedJournal_v__LinkedJournal.13.smt2 -> UNKNOWN
[67/3763] splinterdb/exec__Cache_v__Cache.1.smt2 -> UNSAT
[68/3763] splinterdb/journal__LinkedJournal_v__LinkedJournal.7.smt2 -> UNSAT
[69/3763] splinterdb/betree__LinkedBranch_v.49.smt2 -> UNSAT
[70/3763] splinterdb/allocation_layer__LikesJournal_v.4.smt2 -> UNSAT
[71/3763] splinterdb/betree__LinkedSeq_v.3.smt2 -> UNSAT
[72/3763] splinterdb/betree__Memtable_v.1.smt2 -> UNSAT
[73/3763] splinterdb/marshalling__IntegerMarshalling_v.23.smt2 -> UNSAT
[74/3763] verismo/tspec_e__array__sort.7.smt2 -> TIMEOUT
[75/3763] splinterdb/abstract_system__StampedMap_v.2.smt2 -> UNSAT
[76/3763] splinterdb/betree__PivotBranchRefinement_v.17.smt2 -> UNKNOWN
[77/3763] splinterdb/betree__PagedBetree_v.32.smt2 -> UNKNOWN
[78/3763] verismo/tspec_e__array__sort.6.smt2 -> TIMEOUT
[79/3763] splinterdb/betree__BufferOffsets_v.6.smt2 -> UNSAT
[80/3763] splinterdb/betree__LinkedBetree_v.53.smt2 -> UNKNOWN
[81/3763] splinterdb/betree__PivotBranch_v.15.smt2 -> UNKNOWN
[82/3763] splinterdb/betree__PivotBetree_v.8.smt2 -> UNSAT
[83/3763] splinterdb/abstract_system__MsgHistory_v.28.smt2 -> UNKNOWN
[84/3763] splinterdb/betree__PagedBetree_v.7.smt2 -> UNSAT
[85/3763] splinterdb/allocation_layer__AllocationJournal_v.5.smt2 -> UNSAT
[86/3763] splinterdb/journal__PagedJournal_v.6.smt2 -> UNSAT
[87/3763] splinterdb/betree__LinkedBetree_v.45.smt2 -> UNSAT
[88/3763] splinterdb/journal__LinkedJournal_v.16.smt2 -> UNSAT
[89/3763] splinterdb/abstract_system__AbstractJournal_v__AbstractJournal.2.smt2 -> UNSAT
[90/3763] splinterdb/allocation_layer__UnifiedCrashAwareJournal_v__UnifiedCrashAwareJournal.4.smt2 -> UNSAT
[91/3763] splinterdb/disk__GenericDisk_v.1.smt2 -> UNSAT
[92/3763] splinterdb/betree__PivotTable_v.2.smt2 -> UNKNOWN
[93/3763] splinterdb/betree__LinkedBetree_v.12.smt2 -> UNSAT
[94/3763] splinterdb/betree__PivotBetree_v.19.smt2 -> UNSAT
[95/3763] splinterdb/allocation_layer__AllocationCrashAwareJournalRefinement_v.3.smt2 -> TIMEOUT
[96/3763] splinterdb/journal__LinkedJournal_v.41.smt2 -> UNSAT
[97/3763] splinterdb/betree__FilteredBetreeRefinement_v.12.smt2 -> UNSAT
[98/3763] splinterdb/marshalling__IntegerMarshalling_v.35.smt2 -> UNKNOWN
[99/3763] splinterdb/betree__BufferSeq_v.8.smt2 -> UNSAT
[100/3763] splinterdb/betree__PagedBetree_v.24.smt2 -> UNKNOWN
[101/3763] splinterdb/betree__LinkedBetree_v.69.smt2 -> UNSAT
[102/3763] splinterdb/journal__PagedJournal_v.10.smt2 -> UNKNOWN
[103/3763] splinterdb/betree__LinkedBranch_v.24.smt2 -> UNKNOWN
[104/3763] splinterdb/betree__FilteredBetree_v.32.smt2 -> UNSAT
[105/3763] splinterdb/betree__LinkedBranch_v__Refinement_v.15.smt2 -> TIMEOUT
[106/3763] splinterdb/abstract_system__MsgHistory_v.12.smt2 -> UNSAT
[107/3763] splinterdb/journal__LinkedJournal_v.9.smt2 -> UNSAT
[108/3763] splinterdb/betree__FilteredBetreeRefinement_v.3.smt2 -> UNKNOWN
[109/3763] splinterdb/betree__LinkedBranch_v.5.smt2 -> UNSAT
[110/3763] splinterdb/betree__LinkedBetree_v.86.smt2 -> UNKNOWN
[111/3763] splinterdb/allocation_layer__MiniAllocator_v.9.smt2 -> UNSAT
[112/3763] splinterdb/betree__LinkedBetree_v.100.smt2 -> TIMEOUT
[113/3763] splinterdb/allocation_layer__LikesBetree_v.11.smt2 -> UNKNOWN
[114/3763] splinterdb/betree__Buffer_v.13.smt2 -> UNSAT
[115/3763] splinterdb/allocation_layer__UnifiedCrashAwareJournal_v.7.smt2 -> UNSAT
[116/3763] splinterdb/betree__PivotBetree_v.35.smt2 -> UNKNOWN
[117/3763] splinterdb/journal__LinkedJournalRefinement_v.7.smt2 -> UNKNOWN
[118/3763] splinterdb/allocation_layer__AllocationCrashAwareJournal_v__AllocationCrashAwareJournal.6.smt2 -> UNKNOWN
[119/3763] splinterdb/allocation_layer__AllocationJournal_v.37.smt2 -> TIMEOUT
[120/3763] splinterdb/marshalling__IntegerMarshalling_v.19.smt2 -> UNKNOWN
[121/3763] splinterdb/allocation_layer__LikesBetree_v__LikesBetree.8.smt2 -> UNSAT
[122/3763] splinterdb/exec__MiniAllocator_v.3.smt2 -> UNSAT
[123/3763] splinterdb/betree__LinkedBetree_v.28.smt2 -> UNSAT
[124/3763] splinterdb/betree__LinkedBetree_v__LinkedBetreeVars.8.smt2 -> UNSAT
[125/3763] splinterdb/betree__PivotBetree_v.23.smt2 -> UNSAT
[126/3763] splinterdb/betree__Buffer_v.5.smt2 -> UNSAT
[127/3763] splinterdb/betree__LinkedBranch_v__Refinement_v.39.smt2 -> TIMEOUT
[128/3763] splinterdb/betree__LinkedBranch_v.65.smt2 -> UNKNOWN
[129/3763] splinterdb/betree__BufferDisk_v.6.smt2 -> UNSAT
[130/3763] splinterdb/betree__Domain_v.3.smt2 -> UNSAT
[131/3763] splinterdb/betree__FilteredBetreeRefinement_v.28.smt2 -> UNKNOWN
[132/3763] splinterdb/betree__PivotBetreeRefinement_v.10.smt2 -> UNSAT
[133/3763] splinterdb/allocation_layer__LikesJournal_v.27.smt2 -> TIMEOUT
[134/3763] splinterdb/betree__OffsetMap_v.4.smt2 -> UNSAT
[135/3763] splinterdb/abstract_system__AbstractCrashAwareSystemRefinement_v.24.smt2 -> UNKNOWN
[136/3763] splinterdb/betree__LinkedBranch_v.32.smt2 -> UNKNOWN
[137/3763] splinterdb/marshalling__Marshalling_v.1.smt2 -> UNSAT
[138/3763] splinterdb/betree__LinkedBetree_v.90.smt2 -> UNSAT
[139/3763] splinterdb/betree__FilteredBetree_v.24.smt2 -> UNSAT
[140/3763] splinterdb/journal__PagedJournalRefinement_v.16.smt2 -> UNKNOWN
[141/3763] splinterdb/betree__PivotBetreeRefinement_v.5.smt2 -> UNKNOWN
[142/3763] splinterdb/allocation_layer__AllocationJournal_v.21.smt2 -> UNSAT
[143/3763] splinterdb/betree__BufferDisk_v.11.smt2 -> UNSAT
[144/3763] splinterdb/betree__BufferSeq_v.11.smt2 -> UNKNOWN
[145/3763] splinterdb/betree__PagedBetreeRefinement_v.17.smt2 -> UNKNOWN
[146/3763] splinterdb/betree__LinkedBetree_v.6.smt2 -> UNKNOWN
[147/3763] splinterdb/allocation_layer__AllocationJournal_v__AllocationJournal.15.smt2 -> TIMEOUT
[148/3763] splinterdb/betree__Utils_v.4.smt2 -> UNKNOWN
[149/3763] splinterdb/journal__LinkedJournalRefinement_v.10.smt2 -> UNKNOWN
[150/3763] splinterdb/allocation_layer__LikesJournal_v.31.smt2 -> UNKNOWN
[151/3763] splinterdb/abstract_system__AbstractCrashAwareSystemRefinement_v.12.smt2 -> UNSAT
[152/3763] splinterdb/journal__PagedJournalRefinement_v.3.smt2 -> UNKNOWN
[153/3763] splinterdb/abstract_system__AbstractCrashAwareSystemRefinement_v.6.smt2 -> UNSAT
[154/3763] splinterdb/abstract_system__MsgHistory_v.8.smt2 -> UNSAT
[155/3763] splinterdb/abstract_system__AbstractCrashAwareSystemRefinement_v.32.smt2 -> TIMEOUT
[156/3763] splinterdb/allocation_layer__AllocationJournalRefinement_v.3.smt2 -> UNKNOWN
[157/3763] splinterdb/betree__LinkedBranch_v.45.smt2 -> UNSAT
[158/3763] splinterdb/allocation_layer__LikesJournal_v.11.smt2 -> UNSAT
[159/3763] splinterdb/allocation_layer__LikesJournal_v.8.smt2 -> UNKNOWN
[160/3763] splinterdb/allocation_layer__AllocationJournal_v__AllocationJournal.7.smt2 -> UNSAT
[161/3763] splinterdb/betree__PivotBetree_v.4.smt2 -> UNKNOWN
[162/3763] splinterdb/abstract_system__MsgHistory_v.24.smt2 -> UNSAT
[163/3763] splinterdb/journal__LinkedJournalRefinement_v.30.smt2 -> UNKNOWN
[164/3763] splinterdb/betree__PivotBranch_v.19.smt2 -> UNSAT
[165/3763] splinterdb/betree__LinkedBranch_v.12.smt2 -> UNSAT
[166/3763] splinterdb/journal__PagedJournal_v.26.smt2 -> UNSAT
[167/3763] splinterdb/betree__PivotBranch_v.7.smt2 -> UNSAT
[168/3763] splinterdb/allocation_layer__AllocationJournal_v.17.smt2 -> UNSAT
[169/3763] splinterdb/betree__LinkedBetree_v.49.smt2 -> UNSAT
[170/3763] splinterdb/betree__PivotBetree_v.42.smt2 -> UNSAT
[171/3763] splinterdb/betree__FilteredBetree_v.12.smt2 -> UNSAT
[172/3763] splinterdb/journal__PagedJournal_v.30.smt2 -> UNKNOWN
[173/3763] splinterdb/allocation_layer__UnifiedCrashAwareJournal_v__UnifiedCrashAwareJournal.8.smt2 -> UNSAT
[174/3763] splinterdb/betree__LinkedBranch_v__Refinement_v.19.smt2 -> OTHER
[175/3763] splinterdb/journal__LinkedJournalRefinement_v.26.smt2 -> TIMEOUT
[176/3763] splinterdb/betree__PagedBetreeRefinement_v.21.smt2 -> TIMEOUT
[177/3763] splinterdb/allocation_layer__AllocationJournal_v.9.smt2 -> UNKNOWN
[178/3763] splinterdb/betree__Memtable_v.10.smt2 -> TIMEOUT
[179/3763] splinterdb/betree__BufferSeq_v.4.smt2 -> UNSAT
[180/3763] splinterdb/marshalling__IntegerMarshalling_v.39.smt2 -> UNKNOWN
[181/3763] splinterdb/betree__PagedBetree_v.28.smt2 -> UNKNOWN
[182/3763] splinterdb/marshalling__IntegerMarshalling_v.3.smt2 -> UNSAT
[183/3763] splinterdb/exec__MiniAllocator_v.11.smt2 -> UNKNOWN
[184/3763] splinterdb/spec__AppIO_t.3.smt2 -> UNKNOWN
[185/3763] splinterdb/betree__LinkedBranch_v.53.smt2 -> UNKNOWN
[186/3763] splinterdb/journal__PagedJournalRefinement_v.20.smt2 -> UNKNOWN
[187/3763] splinterdb/allocation_layer__MiniAllocator_v.5.smt2 -> UNSAT
[188/3763] splinterdb/betree__PivotBetree_v.15.smt2 -> UNKNOWN
[189/3763] splinterdb/betree__LinkedBranch_v.9.smt2 -> UNSAT
[190/3763] splinterdb/journal__LinkedJournal_v.5.smt2 -> UNSAT
[191/3763] splinterdb/betree__PivotBetreeRefinement_v.26.smt2 -> UNKNOWN
[192/3763] splinterdb/marshalling__IntegerMarshalling_v.42.smt2 -> UNKNOWN
[193/3763] splinterdb/journal__LinkedJournal_v.36.smt2 -> UNSAT
[194/3763] splinterdb/betree__PivotBranch_v.23.smt2 -> UNSAT
[195/3763] splinterdb/betree__LinkedBranch_v.28.smt2 -> UNSAT
[196/3763] splinterdb/betree__LinkedBetree_v.65.smt2 -> UNSAT
[197/3763] splinterdb/marshalling__IntegerMarshalling_v.15.smt2 -> UNSAT
[198/3763] splinterdb/betree__LinkedBetree_v.32.smt2 -> UNSAT
[199/3763] splinterdb/allocation_layer__LikesBetree_v__LikesBetree.4.smt2 -> UNSAT
[200/3763] splinterdb/allocation_layer__AllocationJournal_v.40.smt2 -> TIMEOUT
[201/3763] splinterdb/betree__PivotBetree_v.39.smt2 -> UNKNOWN
[202/3763] splinterdb/betree__LinkedBranch_v__Refinement_v.35.smt2 -> TIMEOUT
[203/3763] splinterdb/betree__LinkedBetree_v__LinkedBetreeVars.4.smt2 -> TIMEOUT
[204/3763] splinterdb/abstract_system__AbstractCrashAwareSystemRefinement_v.28.smt2 -> TIMEOUT
[205/3763] splinterdb/betree__PivotBranchRefinement_v.21.smt2 -> TIMEOUT
[206/3763] splinterdb/betree__PagedBetree_v.12.smt2 -> UNKNOWN
[207/3763] splinterdb/betree__FilteredBetreeRefinement_v.32.smt2 -> TIMEOUT
[208/3763] splinterdb/betree__PivotBranchRefinement_v.2.smt2 -> UNSAT
[209/3763] splinterdb/allocation_layer__UnifiedCrashAwareJournalRefinement_v.7.smt2 -> TIMEOUT
[210/3763] splinterdb/betree__LinkedBranch_v__Refinement_v.1.smt2 -> UNKNOWN
[211/3763] splinterdb/allocation_layer__LikesJournal_v__LikesJournal.1.smt2 -> UNSAT
[212/3763] splinterdb/betree__Buffer_v.9.smt2 -> UNSAT
[213/3763] splinterdb/allocation_layer__UnifiedCrashAwareJournal_v.14.smt2 -> UNSAT
[214/3763] splinterdb/allocation_layer__MiniAllocator_v.11.smt2 -> UNSAT
[215/3763] splinterdb/betree__LinkedBetree_v.24.smt2 -> UNSAT
[216/3763] splinterdb/journal__LinkedJournal_v.20.smt2 -> UNSAT
[217/3763] splinterdb/marshalling__IntegerMarshalling_v.54.smt2 -> UNKNOWN
[218/3763] splinterdb/betree__FilteredBetree_v.28.smt2 -> UNSAT
[219/3763] splinterdb/betree__LinkedBetree_v.73.smt2 -> UNSAT
[220/3763] splinterdb/betree__LinkedBetree_v.72.smt2 -> UNSAT
[221/3763] splinterdb/betree__FilteredBetreeRefinement_v.24.smt2 -> UNKNOWN
[222/3763] splinterdb/allocation_layer__AllocationJournal_v__AllocationJournal.19.smt2 -> TIMEOUT
[223/3763] splinterdb/betree__PivotBetreeRefinement_v.9.smt2 -> UNSAT
[224/3763] splinterdb/betree__FilteredBetree_v.29.smt2 -> UNKNOWN
[225/3763] splinterdb/betree__LinkedBranch_v__Refinement_v.23.smt2 -> TIMEOUT
[226/3763] splinterdb/betree__PivotBetreeRefinement_v.8.smt2 -> TIMEOUT
[227/3763] splinterdb/betree__LinkedBranch_v__Refinement_v.22.smt2 -> TIMEOUT
[228/3763] splinterdb/journal__LinkedJournal_v.21.smt2 -> UNKNOWN
[229/3763] splinterdb/marshalling__IntegerMarshalling_v.55.smt2 -> UNSAT
[230/3763] splinterdb/marshalling__Slice_v.1.smt2 -> UNKNOWN
[231/3763] splinterdb/allocation_layer__AllocationJournal_v__AllocationJournal.18.smt2 -> TIMEOUT
[232/3763] splinterdb/betree__Buffer_v.8.smt2 -> UNSAT
[233/3763] splinterdb/allocation_layer__MiniAllocator_v.10.smt2 -> UNKNOWN
[234/3763] splinterdb/betree__PagedBetree_v.13.smt2 -> UNSAT
[235/3763] splinterdb/betree__LinkedBetree_v.25.smt2 -> UNKNOWN
[236/3763] splinterdb/betree__FilteredBetree_v.1.smt2 -> UNKNOWN
[237/3763] splinterdb/betree__LinkedBetree_v.33.smt2 -> UNSAT
[238/3763] splinterdb/betree__FilteredBetreeRefinement_v.25.smt2 -> UNKNOWN
[239/3763] splinterdb/allocation_layer__LikesBetree_v__LikesBetree.5.smt2 -> UNSAT
[240/3763] splinterdb/betree__PivotBetree_v.38.smt2 -> UNKNOWN
[241/3763] splinterdb/marshalling__IntegerMarshalling_v.14.smt2 -> UNKNOWN
[242/3763] splinterdb/betree__PivotBranch_v.22.smt2 -> UNSAT
[243/3763] splinterdb/betree__PivotBranchRefinement_v.3.smt2 -> UNKNOWN
[244/3763] splinterdb/betree__LinkedBranch_v.29.smt2 -> UNSAT
[245/3763] splinterdb/allocation_layer__LikesBetree_v.1.smt2 -> UNSAT
[246/3763] splinterdb/allocation_layer__UnifiedCrashAwareJournal_v.15.smt2 -> TIMEOUT
[247/3763] splinterdb/betree__LinkedBetree_v.64.smt2 -> UNSAT
[248/3763] splinterdb/allocation_layer__MiniAllocator_v.4.smt2 -> UNSAT
[249/3763] splinterdb/betree__LinkedBranch_v.8.smt2 -> UNSAT
[250/3763] splinterdb/journal__LinkedJournal_v.4.smt2 -> UNSAT
[251/3763] splinterdb/betree__FilteredBetreeRefinement_v.33.smt2 -> TIMEOUT
[252/3763] splinterdb/allocation_layer__UnifiedCrashAwareJournalRefinement_v.6.smt2 -> UNKNOWN
[253/3763] splinterdb/marshalling__IntegerMarshalling_v.43.smt2 -> UNKNOWN
