Starting to process folder: /Users/shaamarl/Desktop/Projects/opensourceversions/Sundance-SMT/20241211-verus
Found 3763 files to process in '/Users/shaamarl/Desktop/Projects/opensourceversions/Sundance-SMT/20241211-verus'
Using 8 parallel processes
------------------------------------------------------------
[1/3763] verismo/tspec_e__array__array_e.6.smt2 -> UNKNOWN
[2/3763] verismo/tspec__range_set.5.smt2 -> UNKNOWN
[3/3763] verismo/tspec_e__array__sort.4.smt2 -> UNKNOWN
[4/3763] verismo/tspec_e__array__array_e.7.smt2 -> UNSAT
[5/3763] verismo/tspec__seqlib__subseq.5.smt2 -> UNKNOWN
[6/3763] verismo/arch__rmp__def_s.1.smt2 -> UNSAT
[7/3763] verismo/tspec__range_set.4.smt2 -> UNKNOWN
[8/3763] verismo/tspec__math__cond_bound.1.smt2 -> UNKNOWN
[9/3763] verismo/tspec_e__array__sort.8.smt2 -> UNKNOWN
[10/3763] verismo/tspec__seqlib__subseq.4.smt2 -> UNKNOWN
[11/3763] verismo/trusted_hacl__hash_s.smt2 -> UNKNOWN
[12/3763] verismo/snp__percpu__def_s.2.smt2 -> UNSAT
[13/3763] verismo/arch__entities.2.smt2 -> UNKNOWN
[14/3763] verismo/tspec__range_set.2.smt2 -> UNKNOWN
[15/3763] verismo/tspec_e__array__sort.3.smt2 -> UNKNOWN
[16/3763] verismo/arch__rmp__def_s.6.smt2 -> UNKNOWN
[17/3763] verismo/tspec_e__math__minmax.1.smt2 -> UNKNOWN
[18/3763] verismo/arch__reg.2.smt2 -> UNSAT
[19/3763] verismo/tspec_e__array__array_e.10.smt2 -> UNSAT
[20/3763] verismo/tspec__seqlib__subseq.3.smt2 -> UNKNOWN
[21/3763] verismo/tspec__math__bits_p.1.smt2 -> UNSAT
[22/3763] verismo/tspec__seqlib__seq_multiset.1.smt2 -> UNKNOWN
[23/3763] verismo/arch__addr_s__def_s.2.smt2 -> UNSAT
[24/3763] verismo/tspec__setlib.1.smt2 -> UNSAT
[25/3763] verismo/tspec_e__array__array_utils.1.smt2 -> UNKNOWN
[26/3763] verismo/tspec_e__array__sort.2.smt2 -> UNKNOWN
[27/3763] verismo/tspec__range_set.3.smt2 -> UNSAT
[28/3763] verismo/tspec_e__array__array_e.1.smt2 -> UNSAT
[29/3763] verismo/arch__rmp__def_s.4.smt2 -> UNSAT
[30/3763] verismo/tspec_e__array__array_e.2.smt2 -> UNSAT
[31/3763] verismo/tspec__map_lib.1.smt2 -> UNKNOWN
[32/3763] verismo/tspec__map_lib.2.smt2 -> UNKNOWN
[33/3763] verismo/tspec_e__array__sort.1.smt2 -> UNKNOWN
[34/3763] verismo/tspec_e__array__sort.5.smt2 -> TIMEOUT
[35/3763] verismo/tspec__seqlib__seq_multiset.2.smt2 -> UNKNOWN
[36/3763] verismo/tspec__seqlib__subseq.1.smt2 -> UNKNOWN
[37/3763] verismo/tspec__setlib.3.smt2 -> UNSAT
[38/3763] verismo/arch__reg.1.smt2 -> UNSAT
